,,, ,rf,FPT,HPG,BMP,GAS,MWG,PTB,IMP,MSN,VCB,VNM,"AVERAGE
",,,,,,
,,,E(r),0.58%,3.30%,2.26%,2.63%,0.66%,1.09%,1.57%,1.27%,0.55%,1.79%,-0.29%,1.40%,,,,,,
,,,𝞼,0%,8.29%,11.74%,10.68%,9.68%,12.82%,10.53%,9.06%,11.29%,7.85%,5.77%,8.88%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,No.,Combination,Stock i,Stock j,Stock k,wi,wj,wk,Total,E(ri),E(rj),E(rk),𝞼i,𝞼j,𝞼k,"Cov(i,j)","Cov(i,k)","Cov(j,k)",E(rp),𝞼p,Sharpe ratio
,90,GAS-MWG-VNM,GAS,MWG,VNM,5%,90%,5%,100%,0.66%,1.09%,-0.29%,9.68%,12.82%,5.77%,0.66%,0.24%,0.26%,1.00%,11.91%,3.51%
,91,GAS-PTB-IMP,GAS,PTB,IMP,5%,58%,37%,100%,0.66%,1.57%,1.27%,9.68%,10.53%,9.06%,0.65%,0.34%,0.44%,1.41%,8.52%,9.76%
,92,GAS-PTB-MSN,GAS,PTB,MSN,5%,90%,5%,100%,0.66%,1.57%,0.55%,9.68%,10.53%,11.29%,0.65%,0.31%,0.30%,1.48%,9.95%,8.97%
,93,GAS-PTB-VCB,GAS,PTB,VCB,5%,11%,84%,100%,0.66%,1.57%,1.79%,9.68%,10.53%,7.85%,0.65%,0.42%,0.37%,1.71%,7.50%,15.08%
,94,GAS-PTB-VNM,GAS,PTB,VNM,5%,90%,5%,100%,0.66%,1.57%,-0.29%,9.68%,10.53%,5.77%,0.65%,0.24%,0.18%,1.43%,9.88%,8.60%
,95,GAS-IMP-MSN,GAS,IMP,MSN,5%,90%,5%,100%,0.66%,1.27%,0.55%,9.68%,9.06%,11.29%,0.34%,0.31%,0.29%,1.20%,8.54%,7.26%
,96,GAS-IMP-VCB,GAS,IMP,VCB,5%,10%,85%,100%,0.66%,1.27%,1.79%,9.68%,9.06%,7.85%,0.34%,0.42%,0.25%,1.69%,7.33%,15.04%
,97,GAS-IMP-VNM,GAS,IMP,VNM,5%,90%,5%,100%,0.66%,1.27%,-0.29%,9.68%,9.06%,5.77%,0.34%,0.24%,0.15%,1.16%,8.45%,6.84%
,98,GAS-MSN-VCB,GAS,MSN,VCB,5%,5%,90%,100%,0.66%,0.55%,1.79%,9.68%,11.29%,7.85%,0.31%,0.42%,0.11%,1.68%,7.45%,14.68%
,99,GAS-MSN-VNM,GAS,MSN,VNM,90%,5%,5%,100%,0.66%,0.55%,-0.29%,9.68%,11.29%,5.77%,0.31%,0.24%,0.11%,0.61%,9.02%,0.29%
